reg_number;law;method;status;subject;customer;customer_code;price_rub;published;updated;deadline;url
0322200015226001240;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка лекарственного препарата для медицинского применения ЦИПРОФЛОКСАЦИН;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАЕВОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОНКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";03222000152;32368.0;16.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0322200015226001240
0322200015226001238;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка электродов электрохирургических эндоскопических аргон-усиленных, одноразового использования;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАЕВОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОНКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";03222000152;402862.06;15.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0322200015226001238
0320300101426000350;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка изделий медицинского назначения для нужд краевого государственного автономного учреждения здравоохранения «Владивостокская клиническая больница № 2» на 2026 год;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ВЛАДИВОСТОКСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2""";03203001014;698160.0;07.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0320300101426000350
0320300101426000341;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка лекарственного(-ых) препарата(-ов) для медицинского применения (МНН – ЭНОКСАПАРИН НАТРИЯ) для нужд краевого государственного автономного учреждения «Владивостокская клиническая больница №2» на 2026-2027 г.;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ВЛАДИВОСТОКСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2""";03203001014;8292060.0;03.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0320300101426000341
0322200015226001236;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка электродов электрохирургических эндоскопических аргон-усиленных, одноразового использования;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАЕВОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОНКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";03222000152;497210.78;15.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0322200015226001236
0322200015226001233;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка реагентов к анализатору гематологическому автоматическому ABX MICROS ES 60;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КРАЕВОЙ КЛИНИЧЕСКИЙ ЦЕНТР ОНКОЛОГИИ"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ ХАБАРОВСКОГО КРАЯ";03222000152;468959.01;15.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0322200015226001233
0320300101426000343;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;Поставка изделий медицинского назначения для нужд краевого государственного автономного учреждения здравоохранения «Владивостокская клиническая больница № 2» на 2026-2027 год;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ВЛАДИВОСТОКСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 2""";03203001014;2688240.0;03.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0320300101426000343
0161300000126000714;44-ФЗ;Запрос котировок в электронной форме;Работа комиссии;выполнение работ по подготовке проектной документации по объекту: Оборудование (дооборудование) административных зданий, социальных объектов и жилых домов приспособлениями, обеспечивающими беспрепятственный доступ к ним инвалидов;АДМИНИСТРАЦИЯ ГОРОДА ЮЖНО-САХАЛИНСКА;01613000001;658616.67;16.09.2026;23.09.2026;23.09.2026;/epz/order/notice/zk20/view/common-info.html?regNumber=0161300000126000714
0319200024026000048;44-ФЗ;Электронный аукцион;Работа комиссии;Поставка Гомогенизатора лабораторного;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НОВОСЕЛОВСКИЙ ОТДЕЛ ВЕТЕРИНАРИИ""";03192000240;82448.33;15.09.2026;23.09.2026;23.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0319200024026000048
0319200024026000049;44-ФЗ;Электронный аукцион;Работа комиссии;Поставка весов напольных;"КРАЕВОЕ ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""НОВОСЕЛОВСКИЙ ОТДЕЛ ВЕТЕРИНАРИИ""";03192000240;45933.33;15.09.2026;23.09.2026;23.09.2026;/epz/order/notice/ea20/view/common-info.html?regNumber=0319200024026000049
